,country,city_name,code,guide_type,title
189,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
190,Croatia,Zagreb,57317,가이드 투어,라스토케 마을 입장권 포함 :: 한국인 가이드 플리트비체  투어 -2인 이상 자그레브 출발
191,Turkey,Istanbul,55229,가이드 투어,[투어] 하이라이트 이스탄불 1일 완성 워킹투어 :: 핵심 명소들 하루만에 볼 수있는 가성비 최고! (터키/이스탄불)
192,Turkey,Istanbul,42299,가이드 투어,[투어]터키 꽉찬 5박6일 마스터투어! (셀축-파묵칼레-안탈랴-카파도키아-소금호수) 이스탄불투어 무료 /4인이상 할인
193,Turkey,Istanbul,7787,가이드 투어,[투어] 하루만에 마스터하는 이스탄불 '클래식투어' :아야소피아/블루모스크/톱카프/돌마바흐체/지하저수지/히포드롬 (터키/이스탄불)
194,Turkey,Istanbul,77701,스냅촬영,[스냅] (3시간/코스B) 이스탄불 현지 전문 사진작가들과 스냅샷 투어! (터키/이스탄불)
195,Turkey,Istanbul,77702,스냅촬영,[스냅] (2시간/코스C) 이스탄불 현지 전문 사진작가들과 스냅샷 투어! (터키/이스탄불)
196,Turkey,Istanbul,77704,스냅촬영,[스냅] (3시간/코스D) 이스탄불 현지 전문 사진작가들과 스냅샷 투어! (터키/이스탄불)
197,Turkey,Istanbul,73186,가이드 투어,[투어] 아름다운 이스탄불 (터키/이스탄불)
198,Turkey,Istanbul,75490,가이드 투어,[투어]터키 전통 아침식사 그리고 돌마바흐체  (터키/이스탄불)
199,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
200,Germany,Munchen,34163,여행편의,[플레이유심]데이터2배제공 이벤트중 KPN/쓰리/EU 유럽유심 (공항수령무료/출국전일가능)
201,Portugal,lisbon,73193,가이드 투어,[한국어 투어] '로맨틱 파라다이스' 신트라 season 2 (포르투갈/리스본)
202,Portugal,Porto,53192,가이드 투어,"#제나의시선 : 포르투여행안내백서, 포르투 워킹투어 (포르투갈/포르투)"
203,Portugal,Porto,48672,가이드 투어,[투어]나만 알고 싶은 포르투 낭만투어  [낮워킹투어+야경포함] [예약시 리스본 또는 신트라 5유로 환급]
204,Portugal,lisbon,36308,가이드 투어,"[투어]리스본 아름다운 골목의 로맨틱한 스토리, 로맨틱투어 / 예약시 신트라 또는 포르투 5유로 환급"
205,Portugal,lisbon,45262,가이드 투어,리스본 미식워킹투어 (포르투갈/리스본)
206,Portugal,lisbon,72748,가이드 투어,"[투어] 동화속 신트라, 폐냐성, 헤갈레이라, 카스카이스, 호카곶 소규모 전용차량투어/한국인가이드/(포르투갈/리스본) /예약시 리스본,포르투투어 5유로환급 "
207,Portugal,Porto,53193,가이드 투어,#제나랑야식 : 포르투 야경+미식투어 [코로나19로 잠정중단] (포르투갈/포르투)
